"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C1,C2,C3,C6,C7,C8,C9,C10,C11";"C_0805";9;"100n";;;
2;"C4";"C_0805";1;"10n";;;
3;"C5";"C_0805";1;"1u";;;
4;"J1";"GS3";1;"Address";;;
5;"L1,L2,L3,L4,L5,L6,L7";"L_0805";7;"22uH";;;
6;"R1,R3";"R_0805";2;"4k7";;;
7;"R2,R4";"R_0805";2;"10k";;;
8;"R5,R6,R7,R8";"R_0805";4;"100k";;;
9;"U1";"TSSOP-20_4.4x6.5mm_Pitch0.65mm";1;"STM32F030F4Px";;;
10;"U2";"SOT-23-5";1;"SPX3819";;;
11;"X1";"Micro-Match-FOB-6";1;"I2C-6P";;;
12;"X2";"SWD";1;"SWD";;;
13;"J2";"JST_XH_S03B-XH-A_03x2.50mm_Angled";1;"Water Flow";;;
14;"J3,J4";"JST_XH_S03B-XH-A_03x2.50mm_Angled";2;"Conn_01x03";;;
15;"J5,J6,J7,J8";"JST_XH_S02B-XH-A_02x2.50mm_Angled";4;"Conn_01x02";;;
