Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,100n,
C10,0805,1,100n,
C11,0805,1,100n,
C12,0805,1,100n,
C13,0805,1,100n,
C14,0805,1,100n,
C15,0805,1,100n,
C2,0805,1,1u,
C3,0805,1,15p,
C4,0805,1,15p,
C5,0805,1,100n,
C6,0805,1,100n,
C7,0805,1,100n,
C8,0805,1,100n,
C9,0805,1,100n,
J1,JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal,1,Water Flow,
J2,SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm,1,Address,
J3,PinHeader_1x03_P2.54mm_Vertical,1,USB,
"J4, J5",JST_XH_S3B-XH-A-1_1x03_P2.50mm_Horizontal,2,Conn_01x03,
"J6, J7, J8, J9",JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,4,Conn_01x02,
L1,0805,1,22uH,
L2,0805,1,22uH,
R1,0805,1,10k,
R10,0805,1,(README.md),
R2,0805,1,10k,
R3,0805,1,4k7,
R4,0805,1,10k,
R5,0805,1,4k7,
R6,0805,1,10k,
R7,0805,1,(README.md),
R8,0805,1,(README.md),
R9,0805,1,(README.md),
U1,SOIC-16_3.9x9.9mm_P1.27mm,1,CD4051B,
U2,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm,1,ESP32-C3FN4,
X1,Micro-Match-FOB-6,1,I2C-6P,
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,40MHz,
