Designator,Mid X,Mid Y,Rotation,Layer
C1,11.0,35.0,270.0,top
C10,63.0,25.0,270.0,top
C11,72.5,25.0,270.0,top
C2,25.0,35.0,270.0,top
C3,47.0,37.0,0.0,top
C6,21.0,27.0,0.0,top
C7,33.0,27.0,0.0,top
C8,44.0,25.0,270.0,top
C9,53.5,25.0,270.0,top
J1,4.0,16.0,0.0,top
J3,16.0,16.0,0.0,top
J4,28.0,16.0,0.0,top
J5,40.0,16.0,0.0,top
J6,49.5,16.0,0.0,top
J7,59.0,16.0,0.0,top
J8,68.5,16.0,0.0,top
J9,29.725,33.25,90.0,top
L2,16.0,27.0,0.0,top
L3,28.0,27.0,0.0,top
L4,40.0,27.0,0.0,top
L5,49.5,27.0,0.0,top
L6,59.0,27.0,0.0,top
L7,68.5,27.0,0.0,top
R1,16.0,23.0,0.0,top
R2,21.0,23.0,0.0,top
R3,28.0,23.0,0.0,top
R4,33.0,23.0,0.0,top
R5,40.0,23.0,0.0,top
R6,49.5,23.0,0.0,top
R7,59.0,23.0,0.0,top
R8,68.5,23.0,0.0,top
U2,18.0,35.0,0.0,top
U3,40.0,35.0,270.0,top
X1,7.0,27.0,0.0,top
